"site_id","name","fine_storm_phase","sum_abundance_total","max_abundance_total","min_abundance_total","mean_abundance_total","se_total","median_abundance_total","q1_abundance_total","q3_abundance_total","sum_abundance_new","max_abundance_new","min_abundance_new","mean_abundance_new","se_new","median_abundance_new","q1_abundance_new","q3_abundance_new","sum_abundance_old","max_abundance_old","min_abundance_old","mean_abundance_old","se_old","median_abundance_old","q1_abundance_old","q3_abundance_old","n_surveys","cluster_lat","cluster_lon"
27,"BARRY","pre",2,2,2,2,NA,2,2,2,2,2,2,2,NA,2,2,2,0,0,0,0,NA,0,0,0,1,29.6827144782609,-85.2670577826087
27,"FAY","post",0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,1,29.6827144782609,-85.2670577826087
27,"FAY","pre",0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,1,29.6827144782609,-85.2670577826087
27,NA,"control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,29.6827144782609,-85.2670577826087
28,"MINDY","post",0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,1,29.6827152857143,-85.3101902857143
28,"MINDY","pre",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,29.6827152857143,-85.3101902857143
28,NA,"control",1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,0,0,0,0,NA,0,0,0,1,29.6827152857143,-85.3101902857143
29,"BARRY","post",1,1,1,1,NA,1,1,1,0,0,0,0,NA,0,0,0,1,1,1,1,NA,1,1,1,1,30.3767237857143,-87.8377128928571
29,"BARRY","pre",2,2,2,2,NA,2,2,2,0,0,0,0,NA,0,0,0,2,2,2,2,NA,2,2,2,1,30.3767237857143,-87.8377128928571
29,"CRISTOBAL","post",1,1,1,1,NA,1,1,1,0,0,0,0,NA,0,0,0,1,1,1,1,NA,1,1,1,1,30.3767237857143,-87.8377128928571
29,"CRISTOBAL","pre",2,2,0,1,1,1,0,2,2,2,0,1,1,1,0,2,0,0,0,0,0,0,0,0,2,30.3767237857143,-87.8377128928571
29,NA,"control",9,4,0,1,0,0,0,1,3,1,0,0,0,0,0,0,6,4,0,0,0,0,0,0,14,30.3767237857143,-87.8377128928571
30,"CRISTOBAL","post",4,4,4,4,NA,4,4,4,0,0,0,0,NA,0,0,0,4,4,4,4,NA,4,4,4,1,30.3787915652174,-87.8525756521739
30,"CRISTOBAL","pre",4,4,4,4,NA,4,4,4,4,4,4,4,NA,4,4,4,5,5,5,5,NA,5,5,5,1,30.3787915652174,-87.8525756521739
30,"NESTOR","post",2,2,2,2,NA,2,2,2,0,0,0,0,NA,0,0,0,2,2,2,2,NA,2,2,2,1,30.3787915652174,-87.8525756521739
30,"NESTOR","pre",2,2,2,2,NA,2,2,2,0,0,0,0,NA,0,0,0,2,2,2,2,NA,2,2,2,1,30.3787915652174,-87.8525756521739
30,NA,"control",6,2,0,1,0,0,0,1,4,2,0,0,0,0,0,1,2,1,0,0,0,0,0,0,10,30.3787915652174,-87.8525756521739
31,"NESTOR","post",7,7,7,7,NA,7,7,7,7,7,7,7,NA,7,7,7,0,0,0,0,NA,0,0,0,1,30.2442031,-88.1188935
