"site_id","name","fine_storm_phase","sum_abundance_total","max_abundance_total","min_abundance_total","mean_abundance_total","se_total","median_abundance_total","q1_abundance_total","q3_abundance_total","sum_abundance_new","max_abundance_new","min_abundance_new","mean_abundance_new","se_new","median_abundance_new","q1_abundance_new","q3_abundance_new","sum_abundance_old","max_abundance_old","min_abundance_old","mean_abundance_old","se_old","median_abundance_old","q1_abundance_old","q3_abundance_old","n_surveys","cluster_lat","cluster_lon"
21,NA,"control",7658,253,0,54,4,42,21,74,3886,253,0,28,4,0,0,41,5007,276,0,36,4,19,0,56,141,27.5930081365741,-97.2142365694444
22,"IMELDA","post",19,19,19,19,NA,19,19,19,19,19,19,19,NA,19,19,19,0,0,0,0,NA,0,0,0,1,27.4824022678571,-97.2713605714286
22,"IMELDA","pre",87,52,35,44,8,44,39,48,0,0,0,0,0,0,0,0,87,52,35,44,8,44,39,48,2,27.4824022678571,-97.2713605714286
22,NA,"control",681,80,0,24,5,16,0,44,251,80,0,9,4,0,0,0,430,70,0,15,4,0,0,29,28,27.4824022678571,-97.2713605714286
23,"BETA","post",24,15,9,12,3,12,10,14,9,9,0,4,4,4,2,7,24,15,9,12,3,12,10,14,2,26.1098216460177,-97.163652079646
23,"BETA","pre",76,76,76,76,NA,76,76,76,32,32,32,32,NA,32,32,32,120,120,120,120,NA,120,120,120,1,26.1098216460177,-97.163652079646
23,"OLGA","post",137,89,18,46,22,30,24,60,0,0,0,0,0,0,0,0,137,89,18,46,22,30,24,60,3,26.1098216460177,-97.163652079646
23,"OLGA","pre",224,66,0,45,12,52,48,58,280,114,0,56,18,52,48,66,3,3,0,1,1,0,0,0,5,26.1098216460177,-97.163652079646
23,NA,"control",1592,159,0,28,4,21,10,36,168,36,0,3,1,0,0,0,1480,159,0,26,4,17,3,36,56,26.1098216460177,-97.163652079646
24,"GRACE","post",6,6,6,6,NA,6,6,6,0,0,0,0,NA,0,0,0,6,6,6,6,NA,6,6,6,1,19.1943324637681,-96.1244223623188
24,"GRACE","pre",9,9,9,9,NA,9,9,9,0,0,0,0,NA,0,0,0,9,9,9,9,NA,9,9,9,1,19.1943324637681,-96.1244223623188
24,"KARL","post",50,50,50,50,NA,50,50,50,0,0,0,0,NA,0,0,0,50,50,50,50,NA,50,50,50,1,19.1943324637681,-96.1244223623188
24,"KARL","pre",19,16,3,10,6,10,6,13,0,0,0,0,0,0,0,0,19,16,3,10,6,10,6,13,2,19.1943324637681,-96.1244223623188
24,NA,"control",734,145,4,35,9,23,15,38,30,20,0,1,1,0,0,0,760,145,4,36,8,26,15,41,21,19.1943324637681,-96.1244223623188
25,"GRACE","during",24,24,24,24,NA,24,24,24,0,0,0,0,NA,0,0,0,24,24,24,24,NA,24,24,24,1,19.1046781304348,-96.0986502173913
25,"GRACE","post",8,8,8,8,NA,8,8,8,0,0,0,0,NA,0,0,0,8,8,8,8,NA,8,8,8,1,19.1046781304348,-96.0986502173913
25,"GRACE","pre",2,2,2,2,NA,2,2,2,0,0,0,0,NA,0,0,0,2,2,2,2,NA,2,2,2,1,19.1046781304348,-96.0986502173913
25,NA,"control",205,38,3,17,3,16,8,24,61,38,0,5,4,0,0,0,169,30,0,14,3,13,7,20,12,19.1046781304348,-96.0986502173913
26,"GRACE","post",11,11,11,11,NA,11,11,11,11,11,11,11,NA,11,11,11,0,0,0,0,NA,0,0,0,1,18.8645838888889,-95.9051875555556
26,"GRACE","pre",13,13,13,13,NA,13,13,13,0,0,0,0,NA,0,0,0,13,13,13,13,NA,13,13,13,1,18.8645838888889,-95.9051875555556
26,NA,"control",171,113,16,43,23,21,19,45,16,16,0,4,4,0,0,4,155,113,0,39,25,21,15,45,4,18.8645838888889,-95.9051875555556
27,"BARRY","post",17,10,7,8,1,8,8,9,0,0,0,0,0,0,0,0,17,10,7,8,1,8,8,9,2,29.6827144782609,-85.2670577826087
