"name","fine_storm_phase","fine_response","sum_abundance_total","max_abundance_total","min_abundance_total","mean_abundance_total","se_total","median_abundance_total","q1_abundance_total","q3_abundance_total","sum_abundance_new","max_abundance_new","min_abundance_new","mean_abundance_new","se_new","median_abundance_new","q1_abundance_new","q3_abundance_new","sum_abundance_old","max_abundance_old","min_abundance_old","mean_abundance_old","se_old","median_abundance_old","q1_abundance_old","q3_abundance_old","n_surveys"
"IMELDA","post","acute",75,75,75,75,NA,75,75,75,83,83,83,83,NA,83,83,83,50,50,50,50,NA,50,50,50,1
"IMELDA","post","extended",252,252,252,252,NA,252,252,252,0,0,0,0,NA,0,0,0,252,252,252,252,NA,252,252,252,1
"IMELDA","post","subacute",115,115,115,115,NA,115,115,115,115,115,115,115,NA,115,115,115,0,0,0,0,NA,0,0,0,1
"IMELDA","pre","acute",45,45,45,45,NA,45,45,45,8,8,8,8,NA,8,8,8,82,82,82,82,NA,82,82,82,1
"IMELDA","pre","extended",82,82,82,82,NA,82,82,82,0,0,0,0,NA,0,0,0,82,82,82,82,NA,82,82,82,1
"IMELDA","pre","subacute",0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,1
"KARL","post","extended",50,50,50,50,NA,50,50,50,0,0,0,0,NA,0,0,0,50,50,50,50,NA,50,50,50,1
"KARL","pre","extended",16,16,16,16,NA,16,16,16,0,0,0,0,NA,0,0,0,16,16,16,16,NA,16,16,16,1
"LAURA","post","extended",5,5,5,5,NA,5,5,5,2,2,2,2,NA,2,2,2,9,9,9,9,NA,9,9,9,1
"LAURA","pre","acute",115,115,115,115,NA,115,115,115,115,115,115,115,NA,115,115,115,0,0,0,0,NA,0,0,0,1
"LAURA","pre","extended",20,20,20,20,NA,20,20,20,10,10,10,10,NA,10,10,10,29,29,29,29,NA,29,29,29,1
"LAURA","pre","subacute",8,8,8,8,NA,8,8,8,0,0,0,0,NA,0,0,0,8,8,8,8,NA,8,8,8,1
"MARCO","post","acute",1,1,1,1,NA,1,1,1,0,0,0,0,NA,0,0,0,3,3,3,3,NA,3,3,3,1
"MARCO","post","extended",23,23,23,23,NA,23,23,23,23,23,23,23,NA,23,23,23,0,0,0,0,NA,0,0,0,1
"MARCO","post","subacute",2,2,2,2,NA,2,2,2,2,2,2,2,NA,2,2,2,0,0,0,0,NA,0,0,0,1
"MARCO","pre","extended",1,1,1,1,NA,1,1,1,0,0,0,0,NA,0,0,0,1,1,1,1,NA,1,1,1,1
"MARCO","pre","subacute",6945,6945,6945,6945,NA,6945,6945,6945,6945,6945,6945,6945,NA,6945,6945,6945,0,0,0,0,NA,0,0,0,1
