"site_id","name","cluster_lon","cluster_lat","mean_abundance_total_post","mean_abundance_total_pre","mean_abundance_total_control","mean_abundance_new_post","mean_abundance_new_pre","mean_abundance_new_control","mean_abundance_old_post","mean_abundance_old_pre","mean_abundance_old_control","median_abundance_total_post","median_abundance_total_pre","median_abundance_total_control","median_abundance_new_post","median_abundance_new_pre","median_abundance_new_control","median_abundance_old_post","median_abundance_old_pre","median_abundance_old_control","pcs_change_mean_total","pcs_change_mean_new","pcs_change_mean_old","pcs_change_median_total","pcs_change_median_new","pcs_change_median_old","change_type_mean_total","change_type_mean_new","change_type_mean_old","change_type_median_total","change_type_median_new","change_type_median_old"
15,"BETA",-94.829336392054,29.2662303388306,24,55,NA,16,61,NA,12,5,NA,24,50,NA,10,63,NA,10,4,NA,-31,-45,7,-26,-53,6,"depletion","depletion","accumulation","depletion","depletion","accumulation"
15,"DELTA",-94.829336392054,29.2662303388306,30,34,NA,0,44,NA,30,10,NA,30,38,NA,0,45,NA,30,9,NA,-4,-44,20,-8,-45,21,"depletion","depletion","accumulation","depletion","depletion","accumulation"
15,"HANNA",-94.829336392054,29.2662303388306,12,10,NA,2,0,NA,14,10,NA,15,10,NA,0,0,NA,15,10,NA,2,2,4,5,0,5,"accumulation","accumulation","accumulation","accumulation","no_change","accumulation"
15,"IMELDA",-94.829336392054,29.2662303388306,82,11,NA,83,2,NA,5,13,NA,82,6,NA,86,0,NA,0,0,NA,71,81,-8,76,86,0,"accumulation","accumulation","depletion","accumulation","accumulation","no_change"
15,"LAURA",-94.829336392054,29.2662303388306,44,29,NA,57,21,NA,10,11,NA,45,16,NA,61,0,NA,9,12,NA,15,36,-1,29,61,-3,"accumulation","accumulation","depletion","accumulation","accumulation","depletion"
15,"NICHOLAS",-94.829336392054,29.2662303388306,8,6,NA,7,6,NA,2,0,NA,6,6,NA,5,6,NA,1,0,NA,2,1,2,0,-1,1,"accumulation","accumulation","accumulation","no_change","depletion","accumulation"
15,NA,-94.829336392054,29.2662303388306,NA,NA,18,NA,NA,9,NA,NA,14,NA,NA,13,NA,NA,0,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,"BETA",-96.8717524766355,28.044564317757,29,10,NA,0,10,NA,58,0,NA,29,10,NA,0,10,NA,58,0,NA,19,-10,58,19,-10,58,"accumulation","depletion","accumulation","accumulation","depletion","accumulation"
16,"HANNA",-96.8717524766355,28.044564317757,11,9,NA,11,9,NA,0,0,NA,11,8,NA,11,8,NA,0,0,NA,2,2,0,3,3,0,"accumulation","accumulation","no_change","accumulation","accumulation","no_change"
16,"NICHOLAS",-96.8717524766355,28.044564317757,93,12,NA,93,12,NA,0,0,NA,92,2,NA,92,2,NA,0,0,NA,81,81,0,90,90,0,"accumulation","accumulation","no_change","accumulation","accumulation","no_change"
16,NA,-96.8717524766355,28.044564317757,NA,NA,28,NA,NA,15,NA,NA,14,NA,NA,25,NA,NA,2,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,"BETA",-96.9259754827586,27.9934573103448,3,10,NA,3,10,NA,0,0,NA,3,10,NA,3,10,NA,0,0,NA,-7,-7,0,-7,-7,0,"depletion","depletion","no_change","depletion","depletion","no_change"
17,"HANNA",-96.9259754827586,27.9934573103448,33,11,NA,33,11,NA,0,0,NA,33,12,NA,33,12,NA,0,0,NA,22,22,0,21,21,0,"accumulation","accumulation","no_change","accumulation","accumulation","no_change"
17,"NICHOLAS",-96.9259754827586,27.9934573103448,42,10,NA,38,10,NA,7,0,NA,32,10,NA,32,10,NA,0,0,NA,32,28,7,22,22,0,"accumulation","accumulation","accumulation","accumulation","accumulation","no_change"
17,NA,-96.9259754827586,27.9934573103448,NA,NA,23,NA,NA,18,NA,NA,7,NA,NA,10,NA,NA,2,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"BETA",-96.9396677142857,27.9797837142857,14,8,NA,0,8,NA,22,0,NA,14,8,NA,0,8,NA,22,0,NA,6,-8,22,6,-8,22,"accumulation","depletion","accumulation","accumulation","depletion","accumulation"
18,"NICHOLAS",-96.9396677142857,27.9797837142857,48,12,NA,48,12,NA,0,0,NA,48,12,NA,48,12,NA,0,0,NA,36,36,0,36,36,0,"accumulation","accumulation","no_change","accumulation","accumulation","no_change"
18,NA,-96.9396677142857,27.9797837142857,NA,NA,33,NA,NA,14,NA,NA,19,NA,NA,38,NA,NA,1,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"HANNA",-97.317873625,27.87043,1,1,NA,1,0,NA,0,1,NA,1,1,NA,1,0,NA,0,1,NA,0,1,-1,0,1,-1,"no_change","accumulation","depletion","no_change","accumulation","depletion"
19,NA,-97.317873625,27.87043,NA,NA,9,NA,NA,0,NA,NA,9,NA,NA,13,NA,NA,0,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,"BETA",-97.1000093112128,27.7692100183066,74,53,NA,59,53,NA,14,0,NA,59,53,NA,59,53,NA,0,0,NA,21,6,14,6,6,0,"accumulation","accumulation","accumulation","accumulation","accumulation","no_change"
20,"DELTA",-97.1000093112128,27.7692100183066,47,53,NA,15,53,NA,32,0,NA,44,53,NA,0,53,NA,42,0,NA,-6,-38,32,-9,-53,42,"depletion","depletion","accumulation","depletion","depletion","accumulation"
20,"HANNA",-97.1000093112128,27.7692100183066,59,3,NA,51,0,NA,8,3,NA,25,4,NA,0,0,NA,0,4,NA,56,51,5,21,0,-4,"accumulation","accumulation","accumulation","accumulation","no_change","depletion"
20,"IMELDA",-97.1000093112128,27.7692100183066,31,77,NA,31,52,NA,0,25,NA,18,42,NA,18,30,NA,0,0,NA,-46,-21,-25,-24,-12,0,"depletion","depletion","depletion","depletion","depletion","no_change"
20,NA,-97.1000093112128,27.7692100183066,NA,NA,49,NA,NA,37,NA,NA,15,NA,NA,34,NA,NA,17,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,"BERYL",-97.2142365694444,27.5930081365741,15,56,NA,0,56,NA,15,0,NA,15,56,NA,0,56,NA,15,0,NA,-41,-56,15,-41,-56,15,"depletion","depletion","accumulation","depletion","depletion","accumulation"
21,"BETA",-97.2142365694444,27.5930081365741,113,76,NA,4,78,NA,113,16,NA,64,70,NA,0,108,NA,64,0,NA,37,-74,97,-6,-108,64,"accumulation","depletion","accumulation","depletion","depletion","accumulation"
21,"HANNA",-97.2142365694444,27.5930081365741,23,32,NA,19,10,NA,4,28,NA,22,40,NA,22,6,NA,0,21,NA,-9,9,-24,-18,16,-21,"depletion","accumulation","depletion","depletion","accumulation","depletion"
21,"IMELDA",-97.2142365694444,27.5930081365741,73,58,NA,32,33,NA,42,38,NA,74,54,NA,0,6,NA,46,19,NA,15,-1,4,20,-6,27,"accumulation","depletion","accumulation","accumulation","depletion","accumulation"
21,"NICHOLAS",-97.2142365694444,27.5930081365741,75,100,NA,76,0,NA,0,100,NA,75,100,NA,76,0,NA,0,100,NA,-25,76,-100,-25,76,-100,"depletion","accumulation","depletion","depletion","accumulation","depletion"
21,NA,-97.2142365694444,27.5930081365741,NA,NA,54,NA,NA,28,NA,NA,36,NA,NA,42,NA,NA,0,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,"IMELDA",-97.2713605714286,27.4824022678571,19,44,NA,19,0,NA,0,44,NA,19,44,NA,19,0,NA,0,44,NA,-25,19,-44,-25,19,-44,"depletion","accumulation","depletion","depletion","accumulation","depletion"
22,NA,-97.2713605714286,27.4824022678571,NA,NA,24,NA,NA,9,NA,NA,15,NA,NA,16,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,"BETA",-97.163652079646,26.1098216460177,12,76,NA,4,32,NA,12,120,NA,12,76,NA,4,32,NA,12,120,NA,-64,-28,-108,-64,-28,-108,"depletion","depletion","depletion","depletion","depletion","depletion"
23,"OLGA",-97.163652079646,26.1098216460177,46,45,NA,0,56,NA,46,1,NA,30,52,NA,0,52,NA,30,0,NA,1,-56,45,-22,-52,30,"accumulation","depletion","accumulation","depletion","depletion","accumulation"
23,NA,-97.163652079646,26.1098216460177,NA,NA,28,NA,NA,3,NA,NA,26,NA,NA,21,NA,NA,0,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
